music_id,music_name,music_artist,music_difficulty
217,Touch and Go,Noah,"[4, 7.7, 11.7, 13.7, '']"
218,Baqeela,owl＊tree,"[2, 6, 11.4, 13.9, '']"
221,夜明けのストリング,曲：DJ Genki／歌：東雲 つむぎ(CV：和泉 風花),"[2, 5, 8, 12.4, 13.4]"
208,快晴,Orangestar feat.初音ミク,"[2, 5, 9, 12.3, '']"
209,サマータイムレコード,じん,"[3, 6, 8.7, 12.4, '']"
219,トリドリ⇒モリモリ！Lovely fruits☆,曲：やしきん／歌：柏木 美亜(CV：和氣 あず未),"[3, 6, 9.7, 12.5, 14.2]"
206,ダンスロボットダンス,ナユタン星人,"[3, 6, 10.4, 12.5, '']"
207,ギガンティックO.T.N,ギガ,"[3, 7, 10.7, 13.8, '']"
214,FREEDOM DiVE (tpz Overcute Remix),t+pazolite,"[4, 8, 11.9, 14.1, '']"
220,Lazy Addiction,sky_delta,"[3, 7, 11.6, 13.7, '']"
212,サドマミホリック,ビートまりお（COOL&CREATE）,"[4, 7, 10.7, 13.5, '']"
213,患部で止まってすぐ溶ける～狂気の優曇華院,ARM＋夕野ヨシミ (IOSYS) feat.miko,"[3, 7, 11, 13.4, '']"
222,Desperado Waltz,ぺのれり,"[3, 7.7, 12.7, 14.4, '']"
210,ブレス・ユア・ブレス,和田たけあき,"[2, 5, 8.7, 11.8, '']"
229,ウサテイ,あまね＋ビートまりお(COOL＆CREATE),"[3, 6, 11.7, 13.7, 0]"
230,全力ハッピーライフ,森羅万象,"[3, 7, 10.7, 13.4, '']"
231,レプリカの恋,幽閉サテライト,"[2, 5, 8, 12.2, '']"
232,"Help me, ERINNNNNN!!",ビートまりお（COOL&CREATE）,"[3, 6, 10.7, 12.7, '']"
233,銀のめぐり,SYNC.ART'S feat. 3L,"[3, 6, 9.7, 13.6, '']"
235,MAKING！ハイタッチ！,曲：山本恭平（Arte Refact）／歌：FIREシューターズ,"[2, 7, 9, 13, '']"
236,GEOMETRIC DANCE,山本真央樹,"[3, 7, 12.1, 14.6, '']"
234,インビジブル,kemu,"[3, 7, 12.2, 13.6, '']"
240,Imperishable Night 2006 (2016 Refine),ゆうゆ / 篠螺悠那,"[3, 7.7, 11.6, 14.2, '']"
237,未来の彼方,草津結衣奈(CV:高田憂希)、尖石内湾(CV:安齋由香里)「温泉むすめ」,"[2, 5, 8.7, 12.5, '']"
238,青春サイダー,SPRiNGS「温泉むすめ」,"[3, 6, 10.7, 13.1, '']"
239,Petit Etoile,petit corolla「温泉むすめ」,"[3, 7, 9.7, 13.5, '']"
241,彗星ハネムーン,ナユタン星人,"[2, 5, 8.7, 12.7, '']"
242,メーベル (self cover),バルーン,"[2, 5, 8, 12.1, '']"
244,ポケットからぬりつぶせ！,曲：中山真斗／歌：マーチングポケッツ [日向 千夏(CV：岡咲 美保)、柏木 美亜(CV：和氣 あず未)、東雲 つむぎ(CV：和泉 風花)],"[2, 5, 8.7, 12.3, '']"
245,Mini skirt,はるなば,"[3, 7, 12.2, 13.9, '']"
246,HONEY-Q,こふ,"[3, 7.7, 12, 13.7, '']"
243,ナイト・オブ・ナイツ (Cranky Remix),ビートまりお × Cranky,"[3, 7, 10.7, 13.6, '']"
247,SILENT BLUE,かねこちはる,"[4, 8.7, 12.1, 14.1, '']"
248,World Vanquisher,void (Mournfinale),"[4, 9, 11.9, 14.6, '']"
254,A Man In The Mirror,orangentle,"[4, 9, 13.6, 14.8, '']"
253,感情アクセラレイション,曲：矢鴇つかさ（Arte Refact）／歌：AQUAシューターズ,"[2, 6, 9, 13, '']"
252,デリヘル呼んだら君が来た,ナナホシ管弦楽団 ,"[3, 6, 10, 13.1, '']"
258,裏表ラバーズ,wowaka,"[3, 7.7, 11.3, 13.7, '']"
260,フィクサー,ぬゆり,"[2, 6, 9.7, 12.9, '']"
261,こどものしくみ,ピノキオピー,"[5, 7.7, 11, 12.9, '']"
265,Let's Starry Party！,曲：原田篤（Arte Refact）／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],"[4, 7, 9.7, 12.8, '']"
263,Snow Fairy Story,40mP,"[2, 5, 8.7, 11.9, '']"
264,白い雪のプリンセスは,のぼる↑,"[3, 7, 10, 12.5, '']"
266,ジングルベル,[H.],"[3, 6, 8.7, 14, 13.9]"
267,Change Our MIRAI！ (Our 7 Lights),イロドリミドリ,"[3, 7, 11, 13, '']"
268,ライトスピード・デイズ,明坂 芹菜(CV:新田 恵海)＆小仏 凪(CV:佐倉 薫),"[3, 7, 10.4, 13.5, '']"
269,猫祭り,箱部 なる(CV:M・A・O),"[3, 6, 9, 12.8, '']"
270,Heart Cooking Recipe,曲：睦月周平／歌：LEAFシューターズ,"[3, 6, 10.4, 13.2, '']"
271,Honey Bear,Freezer,"[3, 6, 11, 13.7, '']"
272,"My Soul,Your Beats!",Lia「Angel Beats!」,"[2, 5, 9.7, 12.3, '']"
274,セツナトリップ,Last Note.,"[2, 6, 10.7, 13.2, '']"
275,ECHO,CIRCRUSH,"[2, 6, 10, 12.8, '']"
273,愛言葉Ⅲ,DECO*27,"[2, 6, 9.7, 12.6, '']"
277,ヒトリボッチサテライト,cosMo＠暴走P ver.Ø,"[4, 9, 12.6, 14.5, '']"
278,"Good bye, Merry-Go-Round.",Yooh,"[5, 9.7, 12.8, 14.9, '']"
281,地球最後の告白を,kemu,"[3, 7, 10.4, 13.3, '']"
282,Doll Judgment,ぬるはち,"[4, 7.7, 11.1, 13.7, '']"
283,しゅわスパ大作戦☆,SOUND HOLIC feat. Nana Takahashi,"[2, 6, 9, 13.2, '']"
286,Radiance,Nhato,"[3, 7, 11.5, 13.6, '']"
284,Duello,Cranky vs t+pazolite,"[4, 8, 12.5, 13.8, '']"
285,folern,ぬゆり,"[4, 8, 11.5, 14.3, '']"
287,shake it！,向日葵,"[2, 5, 8, 12.7, '']"
288,おねがいダーリン,ナナホシ管弦楽団 feat. 松下,"[3, 6, 9.7, 12.6, '']"
289,BOKUTO,じーざすP feat.kradness,"[3, 7, 11.3, 13.6, '']"
300,Splash Dance!!,曲：Q-MHz／歌：オンゲキシューターズ,"[3, 7, 10.7, 12.9, '']"
301,Sparkle,Maozon,"[2, 6, 11.8, 13.8, '']"
302,Last Kingdom,USAO,"[2, 7.7, 11.9, 13.9, '']"
303,Vibes 2k20,Sound Artz,"[3, 7.7, 12.7, 13.9, '']"
304,R'N'R Monsta,Lite Show Magic,"[4, 8, 12.3, 14, '']"
296,乙女解剖,DECO*27,"[2, 5, 8.7, 11.8, '']"
297,ドラマツルギー,Eve,"[2, 6, 9, 13.3, '']"
298,メルティランドナイトメア,はるまきごはん feat.初音ミク,"[2, 5, 9.7, 12.5, '']"
299,疾走あんさんぶる,ビートまりお（COOL&CREATE）,"[4, 7, 11.4, 13.6, '']"
307,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,GYARI,"[3, 6, 10, 13.1, '']"
309,Dreadnought,Mastermind(xi+nora2r),"[4, 8, 11.6, 13.8, '']"
310,ホシノキズナ,神樹ヶ峰女学園星守クラス「バトルガール ハイスクール」,"[2, 5, 9, 12.1, '']"
312,アンドロイドガール,DECO*27,"[3, 7, 10.4, 12.7, '']"
314,撩乱乙女†無双劇,曲：Haggy Rock & 佐藤厚仁／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],"[4, 7, 11.6, 13.3, '']"
315,Ai Drew,Feryquitous,"[4, 8, 12.3, 13.9, '']"
313,チェチェ・チェック・ワンツー！,和田たけあき(くらげP),"[3, 6, 10, 12.5, '']"
318,物凄い狂っとるフランちゃんが物凄いうた,Halozy feat. ななひら,"[3, 7, 11.1, 13.4, '']"
320,ぱくぱく☆がーる,曲：齋藤大／歌：珠洲島 有栖(CV：長縄 まりあ),"[2, 6, 9, 13, '']"
319,otorii INNOVATED -[i]3-,NAOKI underground,"[5, 9, 12.4, 14.7, '']"
321,DAWNBREAKER,DJ Noriken,"[3, 8, 11.8, 13.6, '']"
322,アマツカミ,a_hisa,"[4, 7, 11.5, 13.8, '']"
323,セガサターン起動音[H.][Remix],Hiro,"[0, 0, 0, 0, 0]"
324,進め！マイウェイ！,曲：篠崎あやと、橘亮祐／歌：マーチングポケッツ [日向 千夏(CV：岡咲 美保)、柏木 美亜(CV：和氣 あず未)、東雲 つむぎ(CV：和泉 風花)],"[2, 5, 9, 12.2, '']"
325,Galaxy Blaster,ああああ,"[5, 8, 12.3, 14.3, '']"
326,Trinity Departure,Soleily,"[3, 7, 12.1, 13.9, '']"
330,Catch the Wave,livetune,"[2, 6, 8.7, 12.7, '']"
327,ハッピータイフーン,KiRaRe「Re:ステージ！プリズムステップ」,"[2, 6, 9, 12.3, 14]"
328,Purple Rays,オルタンシア「Re:ステージ！プリズムステップ」,"[2, 5, 9, 12.6, '']"
329,Stage of Star,ステラマリス「Re:ステージ！プリズムステップ」,"[4, 6, 10, 13.3, '']"
336,夏色花火,"曲：穴山大輔, 水野健治／歌：藤沢 柚子(CV：久保田 梨沙)、早乙女 彩華(CV：中島 唯)","[1, 5, 8, 12.1, '']"
334,でらっくmaimai♪てんてこまい!,やしきん feat.でらっくま(CV:三森すずこ),"[3, 7, 10, 12.9, '']"
335,Summer is over,TORIENA,"[3, 7, 11.7, 13.8, '']"
337,Hand in Hand,livetune,"[2, 5, 8, 11.7, '']"
338,アンノウン・マザーグース,wowaka,"[4, 7, 11, 13.5, '']"
339,スイートマジック,ろん×Junky,"[2, 5, 8.7, 12.8, '']"
341,絆はずっとGrowing Up!!!,曲：原田篤（Arte Refact）／歌：ASTERISM [星咲 あかり(CV：赤尾 ひかる)、藤沢 柚子(CV：久保田 梨沙)、三角 葵(CV：春野 杏)],"[4, 6, 10, 12.6, '']"
342,AstrøNotes.,MisoilePunch♪,"[5, 8.7, 12.3, 14.7, '']"
340,超常マイマイン,ナユタン星人,"[3, 7, 10.7, 13.2, '']"
344,Air,SHIKI,"[3, 8, 12.2, 14.5, '']"
345,Destr0yer,削除 feat. Nikki Simmons,"[2, 7.7, 11.4, 13.7, '']"
348,ルナティックレッドアイズ,Innocent Key,"[3, 6, 10.7, 12.9, '']"
351,End Time,Cres.,"[4, 8, 13.2, 14.7, '']"
349,花たちに希望を,Sound piercer feat.DAZBEE,"[3, 7, 11.5, 13.5, '']"
350,ベースラインやってる？笑,かめりあ feat. ななひら,"[2, 5, 10, 13.4, '']"
354,Iudicium “Apocalypsis Mix”,曲：Powerless／歌：柏木 咲姫(CV：石見 舞菜香)、柏木 美亜(CV：和氣 あず未),"[3, 6, 11.4, 13.1, '']"
352,Genesis,Morrigan feat.Lily,"[3, 8, 12.4, 14.2, '']"
353,Glorious Crown (tpz over-Over-OVERCUTE REMIX),t+pazolite,"[5, 8.7, 12.9, 14.5, '']"
355,My First Phone,cubesato,"[0, 0, 0, 0, 14.8]"
356,luna blu,WASi303,"[0, 0, 0, 0, 14.6]"
358,スン(マイル)フラワー～Sun(Mile)Flower,曲：Funta7／歌：星咲 あかり(CV：赤尾 ひかる)、日向 千夏(CV：岡咲 美保),"[2, 7, 9, 12.7, '']"
357,ナンセンス文学,Eve,"[3, 6, 10.4, 13.3, '']"
361,ヒトガタ,HIMEHINA「バーチャルさんはみている」,"[2, 6, 9, 13.4, '']"
362,Singularity,technoplanet,"[5, 9, 13.5, 14.8, '']"
363,脳天直撃,黒沢ダイスケ VS 穴山大輔,"[5, 10, 13.4, 15.1, 0]"
365,スパッと！スパイ＆スパイス,ツキカゲ（安齋由香里，沼倉愛美，藤田茜，洲崎綾，のぐちゆり，内田彩）「RELEASE THE SPYCE」,"[2, 6, 10.7, 13.5, '']"
366,felys -final remix-,onoken,"[3, 8, 11.7, 14.1, '']"
368,PinqPiq (xovevox Remix),owl＊tree Remixed by sasakure.UK,"[3, 7, 12, 14.2, '']"
367,Jörqer,owl＊tree feat.yu＊tree,"[2, 5, 10.4, 13.5, '']"
376,だれかの心臓になれたなら,ユリイ・カノン feat.GUMI,"[2, 6, 9.7, 12.9, '']"
377,テオ,Omoi feat. 初音ミク,"[3, 7, 10.7, 12.9, '']"
378,ベノム,かいりきベア feat.flower,"[2, 6, 10.4, 12.8, '']"
379,ナイト・オブ・ナイツ (xi Remix),xi,"[4, 8, 11.9, 14, '']"
382,No Limit RED Force,曲：本多友紀（Arte Refact）／歌：オンゲキシューターズ,"[2, 6, 9, 12.4, 13.9]"
383,Glitter-Glitter,曲：睦月周平／歌：星咲 あかり(CV：赤尾 ひかる),"[2, 5, 10, 13, '']"
384,ウキウキ☆Candy!,曲：設楽哲也／歌：藤沢 柚子(CV：久保田 梨沙),"[2, 5, 10.7, 13.1, '']"
385,All Right!,曲：DJ Genki／歌：三角 葵(CV：春野 杏),"[3, 7.7, 11.5, 13.6, '']"
386,RED to RED,REDALiCE,"[4, 8, 12.2, 13.7, '']"
387,Daydreama,HiTECH NINJA,"[4, 8, 12, 14.1, '']"
388,Lostwizz,s-don,"[3, 7.7, 11.7, 13.7, '']"
389,Stargazing Dreamer,xi,"[5, 9.7, 13.4, 14.3, '']"
370,Forever Friends,AiRBLUE「CUE!」,"[3, 6, 9, 12.4, '']"
381,雷切-RAIKIRI-,kanone,"[3, 8, 12.7, 14.4, '']"
380,Sound Chimera,Laur,"[5, 8.7, 12.8, 14.2, '']"
390,STARTLINER -星咲 あかりソロver.-,曲：kz(livetune)／歌：星咲 あかり(CV：赤尾 ひかる),"[2, 5, 8.7, 11, '']"
